month,year,births
January,2000,101
February,2000,168
March,2000,271
April,2000,229
May,2000,287
June,2000,183
July,2000,142
August,2000,238
September,2000,264
October,2000,263
November,2000,108
December,2000,152
January,2001,291
February,2001,64
March,2001,289
April,2001,75
May,2001,141
June,2001,112
July,2001,285
August,2001,162
September,2001,96
October,2001,148
November,2001,69
December,2001,286
January,2002,274
February,2002,152
March,2002,248
April,2002,289
May,2002,112
June,2002,257
July,2002,125
August,2002,86
September,2002,123
October,2002,274
November,2002,131
December,2002,175
January,2003,70
February,2003,71
March,2003,54
April,2003,214
May,2003,258
June,2003,103
July,2003,194
August,2003,97
September,2003,104
October,2003,235
November,2003,152
December,2003,142
January,2004,84
February,2004,285
March,2004,70
April,2004,261
May,2004,175
June,2004,199
July,2004,77
August,2004,202
September,2004,53
October,2004,157
November,2004,99
December,2004,58
January,2005,279
February,2005,242
March,2005,258
April,2005,115
May,2005,125
June,2005,204
July,2005,235
August,2005,158
September,2005,225
October,2005,224
November,2005,230
December,2005,269
January,2006,299
February,2006,201
March,2006,196
April,2006,299
May,2006,70
June,2006,136
July,2006,193
August,2006,243
September,2006,174
October,2006,62
November,2006,175
December,2006,134
